psraid,sample,int_date,fips,state,cregion,density,usr,vote01,pial1,pial2,pial3,pial4a,pial4b,pial4c,pial4d,pial4e,pial4f,pial5a,pial5b,pial5c,pial6a,pial6b,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,reg,party,partyln,ideo,zipcode,iphoneuse,hphoneuse,weight,standwt
101384,1,101312,12053,12,3,3,S,3,2,2,1,2,2,1,2,1,1,2,2,2,2,2,1, , ,1,3,2,2,87,3,2,1,99,1,3,9,2,34608,2,2,1.36842105263158,.321789501980428
101411,1,101312,34021,34,1,4,S,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1, , ,2,1,1,1,52,6,2,1,8,1,3,2,3,08648,2,2,3.26315789473684,.76734419703025
101423,1,101312,36061,36,1,5,U,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1, , ,2,1,2,2,37,8,2,1,9,1,3,1,3,10282,2,2,4.89473684210526,1.15101629554538
101427,1,101312,23029,23,1,1,R,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2, ,2,3,2,2,71,8,2,1,4,1,1, ,3,04631,1,1,2.89473684210526,.680708561881674
101442,1,101312,42081,42,1,1,S,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1, , ,2,1,2,2,50,4,2,1,5,1,2, ,3,17701,2,2,3.36842105263158,.79209723564413
101443,1,101312,25017,25,1,4,S,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1, , ,2,3,2,1,67,6,2,1,9,1,3,2,5,02420,2,2,2,.470307733663702
101451,1,101412,51059,51,3,5,S,1,1,1,2,1,2,2,2,1,2,2,1,2,2,2,1, , ,2,3,2,2,72,8,2,1,99,1,1, ,2,20170,2,2,1.84210526315789,.433178175742883
101454,1,101312,12039,12,3,1,S,1,2,2,2, , , , , , , , , , , ,2,1, ,1,3,2,2,60,3,2,1,99,3,4,9,8,32351,1,2,2.10526315789474,.495060772277581
101459,1,101412,12033,12,3,3,U,1,2,2,2, , , , , , , , , , , ,1, , ,3,3,2,2,61,9,2,2,5,1,2, ,2,32505,2,2,4.31578947368421,1.01487458316904
101463,1,101312,17199,17,2,2,R,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,1, , ,3,3,1,2,53,8,2,1,99,2,2, ,9,62933,2,2,3.68421052631579,.866356351485767
101466,1,101312,33011,33,1,3,U,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1, , ,1,3,2,1,66,8,2,1,5,1,2, ,5,03049,2,2,1,.235153866831851
101474,1,101312,45049,45,3,1,R,1,1,1,1,1,2,2,1,2,1,1,1,1,2,2,1, , ,2,1,2,2,41,5,2,1,8,1,1, ,9,29944,2,2,3,.705461600495553
101478,1,101312,22105,22,3,2,R,1,2,2,2, , , , , , , , , , , ,2,2, ,1,3,2,2,82,3,2,1,99,1,2, ,2,70454,1,1,2.57894736842105,.606449446040037
101481,1,101312,36001,36,1,3,U,1,1,1,2,1,2,2,1,1,2,1,2,2,2,2,1, , ,2,3,2,1,68,8,2,1,8,1,2, ,4,12208,2,2,1.89473684210526,.445554695049823
101501,1,101312,55061,55,2,1,S,1,1,1,1,1,2,1,1,2,2,2,1,2,2,2,1, , ,2,1,2,1,42,7,2,1,6,1,3,2,4,54217,2,2,2.63157894736842,.618825965346976
