CaseID,weight1,weight2,tm_start,tm_finish,duration,XTESS089,XPPRACEM,XPARTY7,XIDEO,XREL1,XREL2,Block_Order_First,Block_Order_Second,Image_Shown,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,PPAGE,ppagecat,ppagect4,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,ppreg9,PPRENT,PPSTATEN,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK,PPNET
108,1.27,.5,10/28/2011,10/28/2011,1,3,1,2,2,2,5,2,1,3,3,2,6,8,4,5,6,5,2,1,43,3,2,12,4,1,1,1,1,1,14,5,1,3,7,1,74,0,0,0,0,1,1,1
109,.08,.17,10/28/2011,10/28/2011,1,19,2,7,2,1,1,1,2,19,4,4,6,6,4,4,8,4,3,3,54,4,3,10,3,2,2,1,3,1,17,1,1,3,5,1,52,0,0,0,0,3,1,1
110,1.35,.53,10/28/2011,10/28/2011,2,24,1,4,4,11,6,2,1,24,0,1,2,2,1,1,2,2,3,3,60,5,4,7,1,1,2,1,2,1,13,1,0,2,3,1,31,0,0,0,0,2,1,1
111,.2,1.06,10/28/2011,10/28/2011,3,22,4,2,3,13, ,2,1,22,5,5,10,8,4,6,10,7,3,3,55,5,3,12,4,3,2,1,3,1,17,1,1,4,9,1,93,0,0,0,0,3,1,1
112,.1,.21,10/28/2011,10/28/2011,1,22,2,5,4,11,2,2,1,22,6,2,10,10,4,2,10,8,5,5,22,1,1,10,3,2,2,0,5,1,17,5,1,2,3,1,33,0,0,1,0,4,1,1
113,1.18,2.01,10/28/2011,10/28/2011,0,10,7,4,4,11,6,1,2,10,4,5,4,6,7,7,6,7,5,5,20,1,1,9,2,4,1,0,14,1,10,5,1,4,9,1,93,0,0,2,3,9,1,1
114,.41,.86,10/28/2011,10/28/2011,3,15,2,6,4,1,3,2,1,15,1,6,9,8,0,6,8,8,4,4,49,4,3,8,1,2,2,1,2,4,4,5,0,3,5,1,54,0,0,0,0,2,2,1
115,.07,.34,10/28/2011,10/28/2011,3,12,4,3,4,13, ,1,2,12,2,4,4,4,6,5,7,8,3,3,52,4,3,12,4,3,1,1,2,3,5,5,1,4,9,2,93,0,0,0,0,2,1,1
116,.29,.61,10/28/2011,10/28/2011,1,5,2,6,4,1,3,1,2,5,6,6,7,7,5,6,6,4,3,2,53,4,3,10,3,2,1,1,1,1,13,5,1,3,5,2,54,0,0,0,0,1,1,1
117,.02,.08,10/28/2011,10/28/2011,19,17,4,3,4,13, ,1,2,17,4,5,6,5,0,2,0,0,2,2,22,1,1,12,4,3,2,1,8,3,3,5,1,3,7,2,72,0,0,0,0,8,7,1
118,1.34,.52,10/28/2011,10/28/2011,2,9,1,3,6,2,2,1,2,9,1,4,6,4,1,4,6,4,4,3,78,7,4,12,4,1,1,1,1,1,14,1,1,1,2,1,21,0,0,0,0,1,5,1
